d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft DirectX SDK (March 2009)
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\configsystem_2005.sln,FEAGAAAACAAAAAAADHCAPFGIDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\configsystem_2005.vcproj,EEGEAAAACAAAAAAADHCAPFGIDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\configsystem_2008.sln,FFAGAAAACAAAAAAADHCAPFGIDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\configsystem_2008.vcproj,MGGEAAAACAAAAAAADHCAPFGIDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\GetDXVer.cpp,NBFFAAAACAAAAAAADHCAPFGIDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\main.cpp,JOPKAAAACAAAAAAAAIAMABGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\main.fx,JFCHAAAACAAAAAAAHMJFAKGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\ConfigSystem\resource.h,MHABAAAACAAAAAAAHMJFAKGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI.cpp,LPIGAAAACAAAAAAAHMJFAKGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI.fx,BPAGAAAACAAAAAAAGEKIBNGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI.jpg,PJBBAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI.manifest,PAADAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI.rc,KFAHAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI_2005.sln,EMAGAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI_2005.vcproj,PHFOAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI_2008.sln,ENAGAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\CustomUI_2008.vcproj,HIFPAAAACAAAAAAAMBAKCAGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\CustomUI\resource.h,MDABAAAACAAAAAAADFJECJGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField.cpp,CBKNAAAACAAAAAAADFJECJGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField.fx,HFDHAAAACAAAAAAAJCPGCLGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthofField.jpg,KGBDAAAACAAAAAAAJCPGCLGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField.manifest,PEADAAAACAAAAAAAJCPGCLGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField.rc,KJAHAAAACAAAAAAAGCBMFCGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField_2005.sln,FEAGAAAACAAAAAAAGCBMFCGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField_2005.vcproj,EPFMAAAACAAAAAAAGCBMFCGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField_2008.sln,FFAGAAAACAAAAAAAGCBMFCGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\DepthOfField_2008.vcproj,NAFMAAAACAAAAAAAGCBMFCGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\DepthOfField\resource.h,MHABAAAACAAAAAAAAEPEGJGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\car2.x,BEPPBIAACAAAAAAAKGMLIBGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\car2_diff.tga,CMAADAAACAAAAAAANCINMEGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\cytovirus.x,GHCJBOAACAAAAAAAHEGFNMGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam.cpp,MKKPAAAACAAAAAAAPPBFONGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam.fx,JMAKAAAACAAAAAAAPPBFONGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam.jpg,AMALAAAACAAAAAAAPPBFONGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam.manifest,PDADAAAACAAAAAAAPPBFONGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam.rc,KIAHAAAACAAAAAAAPPBFONGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam_2005.sln,FCAGAAAACAAAAAAAPPBFONGJDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam_2005.vcproj,JHFLAAAACAAAAAAACMJOBFGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam_2008.sln,FDAGAAAACAAAAAAACMJOBFGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\EffectParam_2008.vcproj,BIFMAAAACAAAAAAACMJOBFGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\reflect.fx,FNCCAAAACAAAAAAAHBBDCLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\resource.h,MGABAAAACAAAAAAAHBBDCLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\specular.fx,CCBFAAAACAAAAAAAHBBDCLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EffectParam\sphereband.x,JAKEAGAACAAAAAAAJPGBDJGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject.cpp,LIBIAAAACAAAAAAAPMMDDLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject.jpg,LIALAAAACAAAAAAAPMMDDLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject.manifest,PEADAAAACAAAAAAAPMMDDLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject.rc,PFAGAAAACAAAAAAAPMMDDLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject_2005.sln,FEAGAAAACAAAAAAAPMMDDLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject_2005.vcproj,PLEKAAAACAAAAAAAMHMNHHEKPHIFMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject_2008.sln,FFAGAAAACAAAAAAABDOLECGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\EmptyProject_2008.vcproj,AEEIAAAACAAAAAAAMHMNHHEKPHIFMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EmptyProject\resource.h,MHABAAAACAAAAAAABDOLECGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh.cpp,GPHPAAAACAAAAAAAMMOJGBGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh.fx,JPAHAAAACAAAAAAAMMOJGBGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh.jpg,BPAJAAAACAAAAAAAMMOJGBGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh.manifest,PEADAAAACAAAAAAAMMOJGBGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh.rc,KJAHAAAACAAAAAAAMMOJGBGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh_2005.sln,FEAGAAAACAAAAAAAMMOJGBGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh_2005.vcproj,EFFNAAAACAAAAAAAPKDHHAGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh_2008.sln,FFAGAAAACAAAAAAAGOMBHJGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\EnhancedMesh_2008.vcproj,MGFNAAAACAAAAAAAGOMBHJGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\EnhancedMesh\resource.h,MHABAAAACAAAAAAAIECCJLGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap.cpp,IKOCAAAACAAAAAAADLJFOOGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap.fx,FCCFAAAACAAAAAAAKPBOPIGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap.jpg,OMBIAAAACAAAAAAAKPBOPIGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap.manifest,PCADAAAACAAAAAAAAMIBPKGKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap.rc,KHAHAAAACAAAAAAAIAAKAEGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap_2005.sln,FAAGAAAACAAAAAAAIAAKAEGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap_2005.vcproj,CFFNAAAACAAAAAAAIAAKAEGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap_2008.sln,FBAGAAAACAAAAAAAIAAKAEGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\HDRCubeMap_2008.vcproj,KGFNAAAACAAAAAAAFBPGAPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\resource.h,MFABAAAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRCubeMap\room.x,CEBGAAAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\hdrformats.cpp,KLBDABAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats.fx,LKEJAAAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\hdrformats.jpg,OJBEAAAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats.manifest,PCADAAAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats.rc,KJBJAAAACAAAAAAAKOFIBCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats_2005.sln,FAAGAAAACAAAAAAACAFGFAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats_2005.vcproj,LMFLAAAACAAAAAAACAFGFAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats_2008.sln,FBAGAAAACAAAAAAACAFGFAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\HDRFormats_2008.vcproj,DIFMAAAACAAAAAAACAFGFAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\resource.h,KMAGAAAACAAAAAAANKBKFFGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\skybox.cpp,AOBMAAAACAAAAAAANKBKFFGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\skybox.fx,AEAGAAAACAAAAAAADHHNFHGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRFormats\skybox.h,HFAFAAAACAAAAAAADHHNFHGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\GlareDefD3D.cpp,HODHAAAACAAAAAAAPBEBFMGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\GlareDefD3D.h,BFCCAAAACAAAAAAAPBEBFMGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting.cpp,MANJABAACAAAAAAAPBEBFMGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting.fx,HGIBAAAACAAAAAAAEOKEFOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting.jpg,BKBCAAAACAAAAAAAEOKEFOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting.manifest,PDADAAAACAAAAAAAEOKEFOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting.rc,MOBJAAAACAAAAAAADFPBILGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting_2005.sln,FCAGAAAACAAAAAAADFPBILGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting_2005.vcproj,OMFPAAAACAAAAAAADFPBILGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting_2008.sln,FDAGAAAACAAAAAAADFPBILGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\HDRLighting_2008.vcproj,GOGAAAAACAAAAAAADFPBILGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRLighting\resource.h,LBAGAAAACAAAAAAAJCFDIOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\enumeration.cpp,MADCAAAACAAAAAAAJCFDIOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\enumeration.h,NDADAAAACAAAAAAAJCFDIOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline.cpp,MKJFAAAACAAAAAAAJCFDIOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline.jpg,EGBBABAACAAAAAAAJCFDIOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline.manifest,PBADAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline.rc,KIAHAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline_2005.sln,FCAGAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline_2005.vcproj,IOGHAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline_2008.sln,FDAGAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRPipeline_2008.vcproj,BAGIAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRScene.cpp,NEGMAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\HDRScene.h,JAAJAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Luminance.cpp,DKJCAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Luminance.h,DHAHAAAACAAAAAAAOPLFJAGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\PostProcess.cpp,MAJPAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\PostProcess.h,IAAJAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\resource.h,MGABAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Shader Code\FinalPass.psh,CLBCAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Shader Code\HDRSource.psh,OGADAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Shader Code\HDRSource.vsh,IBAHAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Shader Code\Luminance.psh,HMBCAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Shader Code\OcclusionMesh.vsh,LIAJAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HDRPipeline\Shader Code\PostProcessing.psh,MJBDAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects.cpp,INGLAAAACAAAAAAAKILEKPGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects.jpg,EABBAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects.manifest,PKADAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects.rc,KPAHAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects.vsh,NPAHAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects_2005.sln,GAAGAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects_2005.vcproj,AADOAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects_2008.sln,GBAGAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\HLSLwithoutEffects_2008.vcproj,IBDOAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\HLSLwithoutEffects\resource.h,MNABAAAACAAAAAAAAFBHLCGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing.cpp,AOPDAAAACAAAAAAAGBLDMOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing.fx,PDBPAAAACAAAAAAAGBLDMOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing.jpg,GNCOAAAACAAAAAAAGBLDMOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing.manifest,PCADAAAACAAAAAAAGBLDMOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing.rc,KHAHAAAACAAAAAAAGBLDMOGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing_2005.sln,FAAGAAAACAAAAAAALOBFNBGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing_2005.vcproj,OFDMAAAACAAAAAAALOBFNBGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing_2008.sln,FBAGAAAACAAAAAAALOBFNBGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\Instancing_2008.vcproj,GGDNAAAACAAAAAAALOBFNBGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\Instancing\resource.h,MKABAAAACAAAAAAANFDMNIGLDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\IrradianceVolume\acropolis.ivc,ADMKHPAACAAAAAAAFMNFFBGMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\IrradianceVolume\acropolis.JPG,FFIAAAAACAAAAAAAMMEGMEGMDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\IrradianceVolume\acropolis.x,OHKNGPAACAAAAAAAAOGKCIGNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\IrradianceVolume\acropolis_ground.JPG,OFDDAAAACAAAAAAACFJBCPGNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\IrradianceVolume\acropolis_ground.x,DECHAAAACAAAAAAAAMNOFMGNDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Samples\C++\Direct3D\IrradianceVolume\acropolis_sky.JPG,FMGEAAAACAAAAAAAGIHKHJGNDHIDMJABAAAAAAAAAAAAAAAA
